brand,item,price
Chanel,CHANEL 26B Quilted Denim Ballet Flats Light Blue EU 39 / US 9 | New in Box | Sold Out,1677
Chanel,Chanel 26B Khaki Quilted Ballerina Leather,1709
Chanel,Chanel Quilted Ballet Flats 26B Red Leather 39,1709
Fendi,AW26 Zebra Ponyhair Limited Edition Baguette,4515
Chanel,Metiers D'art leopard jaquard flap,13818
Amina Muaddi,"Vittoria Slipper 105, Silver",2082
Chanel,CHANEL Coco Beach 2026 Chain Mesh Mules,3670
Chanel,Chanel coco beach cambon ballet flats,1893
Chanel,Suede bag 32cm,9330
Chanel,Swimsuit Chanel Coco Beach 2026,1839
Hermès,Mini Kelly 20,27115
Hermès,Constance 14 Vert Foncé,23580
Hermès,Birkin 30,28630
Hermès,HAC 32 Bleu Sapphire,16980
Hermès,Bleu de Prusse Togo Birkin 40,21055
Dior,Dior Newspaper Saddle Bag,15110
Chanel,Mini Rectangle Flap In Black Crocodile,18000
Hermès,Kelly 28,19530
Hermès,Bride a brac,1314
Hermès,Farandole 160,3360
